timestamp,model,rmse
2025-06-28 15:58:40,xgb,1257.7152025667542
2025-06-28 15:58:41,cat,11360.07200404268
2025-06-28 15:58:42,lgbm,61590.495081876885
2025-06-28 15:58:44,ensemble,22735.386517387615
2025-06-28 15:58:45,stacking,1362.7818047714677
