timestamp,model,rmse,mae,r2
2025-06-28 17:24:25,xgb,1257.7152025667542,344.4248511904762,0.9999875900233295
2025-06-28 17:24:26,cat,11360.07200404268,8389.523271778236,0.9989875618249385
2025-06-28 17:24:27,lgbm,59694.15940371752,32171.354846639868,0.9720443222219067
2025-06-28 17:24:28,ensemble,22286.456392730895,12003.65105581824,0.9961033770499316
2025-06-28 17:24:30,stacking,22286.456392730895,12003.65105581824,0.9961033770499316
2025-06-28 17:26:07,xgb,1257.7152025667542,344.4248511904762,0.9999875900233295
2025-06-28 17:26:08,cat,11360.07200404268,8389.523271778236,0.9989875618249385
2025-06-28 17:26:09,lgbm,59694.15940371752,32171.354846639868,0.9720443222219067
2025-06-28 17:26:10,ensemble,22286.456392730895,12003.65105581824,0.9961033770499316
2025-06-28 17:26:11,stacking,22286.456392730895,12003.65105581824,0.9961033770499316
2025-06-28 17:31:25,xgb,1257.7152025667542,344.4248511904762,0.9999875900233295
2025-06-28 17:32:15,xgb,1257.7152025667542,344.4248511904762,0.9999875900233295
2025-06-28 17:32:16,cat,11360.07200404268,8389.523271778236,0.9989875618249385
2025-06-28 17:32:17,lgbm,59694.15940371752,32171.354846639868,0.9720443222219067
2025-06-28 17:32:18,ensemble,22286.456392730895,12003.65105581824,0.9961033770499316
2025-06-28 17:32:20,stacking,22286.456392730895,12003.65105581824,0.9961033770499316
2025-06-28 17:45:38,xgb,1257.7152025667542,344.4248511904762,0.9999875900233295
2025-06-28 17:45:39,cat,11360.07200404268,8389.523271778236,0.9989875618249385
2025-06-28 17:45:40,lgbm,59694.15940371752,32171.354846639868,0.9720443222219067
2025-06-28 17:45:41,ensemble,22286.456392730895,12003.65105581824,0.9961033770499316
2025-06-28 17:45:42,stacking,22286.456392730895,12003.65105581824,0.9961033770499316
